Opportunity #,Account Name,Opportunity Name,Created Date,Close Date,Total Contract Value (converted),Probability (%)
OPP-1000,Account 0,Deal 0,22/05/2025,23/08/2025,25066.65,40.3
OPP-1001,Account 1,Deal 1,04/04/2025,15/05/2025,18935.54,11.0
OPP-1002,Account 2,Deal 2,13/04/2025,19/07/2025,19493.57,14.1
OPP-1003,Account 3,Deal 3,15/05/2025,22/08/2025,22755.96,2.7
OPP-1004,Account 4,Deal 4,28/03/2025,22/06/2025,54562.26,19.7
OPP-1005,Account 5,Deal 5,27/04/2025,22/07/2025,30742.85,27.7
OPP-1006,Account 6,Deal 6,06/05/2025,22/06/2025,21267.26,53.0
OPP-1007,Account 7,Deal 7,03/02/2025,04/05/2025,15558.54,19.3
OPP-1008,Account 8,Deal 8,09/01/2025,07/02/2025,15048.01,32.8
OPP-1009,Account 9,Deal 9,15/02/2025,07/05/2025,57619.88,54.1
OPP-1010,Account 10,Deal 10,12/02/2025,03/06/2025,29852.16,23.0
OPP-1011,Account 11,Deal 11,12/05/2025,06/09/2025,22937.54,30.0
OPP-1012,Account 12,Deal 12,17/05/2025,02/07/2025,17895.26,48.9
OPP-1013,Account 13,Deal 13,01/01/2025,19/02/2025,11322.74,40.9
OPP-1014,Account 14,Deal 14,16/03/2025,03/06/2025,21160.32,32.0
OPP-1015,Account 15,Deal 15,04/05/2025,29/06/2025,37204.87,42.1
OPP-1016,Account 16,Deal 16,20/01/2025,21/04/2025,17404.39,61.0
OPP-1017,Account 17,Deal 17,30/04/2025,05/06/2025,19219.0,70.3
OPP-1018,Account 18,Deal 18,18/01/2025,19/02/2025,19290.72,76.8
OPP-1019,Account 19,Deal 19,12/03/2025,01/04/2025,23523.53,37.3
OPP-1020,Account 0,Deal 20,03/05/2025,06/07/2025,10000.0,28.1
OPP-1021,Account 1,Deal 21,15/02/2025,24/03/2025,19125.18,53.1
OPP-1022,Account 2,Deal 22,21/02/2025,08/04/2025,13191.96,68.8
OPP-1023,Account 3,Deal 23,11/02/2025,02/06/2025,37449.59,63.1
OPP-1024,Account 4,Deal 24,18/04/2025,27/07/2025,13872.18,21.2
OPP-1025,Account 5,Deal 25,08/02/2025,22/05/2025,31139.36,54.6
OPP-1026,Account 6,Deal 26,29/05/2025,14/08/2025,54976.58,49.0
OPP-1027,Account 7,Deal 27,08/03/2025,03/04/2025,18248.57,60.2
OPP-1028,Account 8,Deal 28,13/03/2025,14/06/2025,15352.82,26.6
OPP-1029,Account 9,Deal 29,17/03/2025,03/06/2025,24707.43,15.5
OPP-1030,Account 10,Deal 30,29/03/2025,17/07/2025,21999.67,71.8
OPP-1031,Account 11,Deal 31,25/03/2025,29/05/2025,12134.77,21.4
OPP-1032,Account 12,Deal 32,18/03/2025,20/04/2025,29043.55,18.2
OPP-1033,Account 13,Deal 33,30/05/2025,15/08/2025,73814.44,35.2
OPP-1034,Account 14,Deal 34,02/05/2025,03/07/2025,18866.3,48.8
OPP-1035,Account 15,Deal 35,29/04/2025,22/07/2025,19502.04,58.5
OPP-1036,Account 16,Deal 36,16/04/2025,09/06/2025,11766.84,49.6
OPP-1037,Account 17,Deal 37,04/04/2025,21/05/2025,26674.23,26.7
OPP-1038,Account 18,Deal 38,21/02/2025,21/03/2025,10423.46,39.5
OPP-1039,Account 19,Deal 39,29/05/2025,21/09/2025,11337.16,6.9
OPP-1040,Account 0,Deal 40,11/03/2025,13/06/2025,47467.49,25.6
OPP-1041,Account 1,Deal 41,02/02/2025,06/04/2025,12793.96,31.1
OPP-1042,Account 2,Deal 42,07/05/2025,15/06/2025,42142.61,62.1
OPP-1043,Account 3,Deal 43,25/01/2025,15/04/2025,54973.95,72.1
OPP-1044,Account 4,Deal 44,09/05/2025,06/07/2025,25734.71,32.1
OPP-1045,Account 5,Deal 45,02/04/2025,22/06/2025,30700.52,62.2
OPP-1046,Account 6,Deal 46,18/01/2025,11/02/2025,71065.02,41.5
OPP-1047,Account 7,Deal 47,07/01/2025,10/02/2025,19574.11,47.2
OPP-1048,Account 8,Deal 48,08/03/2025,08/06/2025,15431.97,43.4
OPP-1049,Account 9,Deal 49,06/01/2025,27/01/2025,10000.0,27.2
OPP-1050,Account 10,Deal 50,22/01/2025,18/04/2025,22584.62,45.4
OPP-1051,Account 11,Deal 51,19/03/2025,16/05/2025,53502.65,33.4
OPP-1052,Account 12,Deal 52,26/05/2025,10/06/2025,39173.56,70.6
